ID,Description,Entry_ID,Anthropology_Note,Grammar_Note,Scientific_Name,Sociolinguistics_Note
SN000394,"be equal to another in a characteristic, trait, or quality, whether a physical characteristic such as height, in knowledge, or in a social trait, such as power",LX000284,,"The object is a possessive NP whose head denotes the trait being compared, and whose possessor denotes or indexes the entity that is equal in this trait to subject of the verb",,
SN000395,"match another’s performance in an activity or perform the same activity in the same manner, e.g., match the performance of another in a race by arriving at the finish line at the same time, or construct a canoe just like another person has done",LX000284,,The object is the person whose activity is being matched by the subject of the verb,,
SN000396,"“aha!”, interjection of discovery or satisfaction of an expectation, used, e.g., when one sees or hears something for which one is searching or when one hears the call of someone who you are expecting",araa,,,,
SN000397,"burrow, a dwelling of an animal such as the <[tiímaaka](LX003358)>, paca, consisting of one or more tunnels, typically leading to a central nest",LX000285,,This is a conventionalized construal of the inflected locative noun <aráa-ku>,,
SN000398,"tunnel or hole in the ground, or similar material, that is saliently long with respect to its diameter",LX000286,,"The default form of this locative noun is <aráama>; the locative suffixes <-ma, -ku>, and <-kúura> indicate the location of the hole with respect to the opening of the hole, i.e., downwards (e.g., a house post), upwards, (e.g., certain animal burrows), and horizontal, respectively",,
SN000399,"“take it!”, “here you go!”, interjection employed when handing or giving someone something, indicating that they should take or receive it, e.g., food that one is giving them, or a tool that they have asked that you get for them",LX000287,,,,
SN000400,"‘cumala de altura’, tree species that grows along creeks and on the hillsides of elevated areas far from large rivers, reaching 1m in diameter; its wood is heavy, but not very hard, making it not particularly desirable as a source of timber. A clear, bitter liquid flows from cuts to its trunk, which can be used to treat thrush, by applying it to the white patches that form in the mouth; its also gargled to treat persistent coughs",LX000288,,,,
SN000401,"notch, a roughly V-shaped empty space, whether it occurs naturally, e.g., the interior of the fork of a tree, or whether man man-made, e.g., a notch cut in the side of pole",LX000289,,Poss.pref,,
SN000402,"cut notch; generally done in the context of building a house frame, where notches are cut in house posts or roof poles so that the timbers that rest on them are less likely to slip once tied into place",LX000290,,,,
SN000403,gap (pl),LX000291,,,,
SN000404,"gap, crack, or crevice; a linear space between two objects, or parts of an object, that is very narrow in comparison to length of the space, e.g., the gap between two planks in wall, between two pieces of ‘pona’ in a house’s elevated floor, or between a door and its frame; note that this term applies equally to gaps that have been effectively reduced to nothing by the close proximity of the two objects, e.g., the crack between two fingers that are pressed closed against each other",LX000292,,Poss.pref,,
SN000405,"vocative term for maternal aunt; mother’s sister, male or female ego",LX000293,,Referential counterpart: <aníriti>,,
SN000406,gill or gills of a fish,LX000294,,Poss.pref,,
SN000407,pharynx of a terrestrial animal,LX000294,,Poss.pref,,
SN000408,"remove gills; many Iquitos believe that the gills capture the impurities in the water, making them unsuitable to eat",LX000295,,,,
SN000409,"sing a song to a particular person, or in honor of a particular person; typically said of men serenading women",LX000296,,,,
SN000410,forget,LX000297,,This verb can take either an NP or an irrealis non-finite clause as its complement,,
SN000411,obey the directives or instructions of another,LX000298,,,,
SN000412,"acceed to a request, respond affirmatively to a request",LX000298,,,,
SN000413,"pay attention to, take heed of, or take seriously another’s advice, opinions, words, or actions",LX000298,,,,
SN000414,believe the truth claims made by another,LX000298,,,,
SN000415,sing,LX000299,,"This verb optionally takes an NP that denotes or indexes the noun <ariwáani> ‘song’, or a suitable anaphoric element with similar reference",,
SN000416,song or chant,LX000300,,,,
SN000417,testicle,LX000301,,,,
SN000418,scrotum,LX000302,,,,
SN000419,"‘shicshi huayo’, liana species",LX000303,,,,
SN000420,"‘cortadera’ or razor grass, species of grass that possesses long slender blades with sharp, serrated edges, that can give shallow but painful cuts to the exposed flesh of those who come in contact with it, e.g., when walking by",ariyuuka,,,Scleria sp,
SN000421,"‘bocón con espada’, species of catfish that is very similar to the <[piruja](piruja)> (‘bocón’), with the exception that it has a large, finely serrated dorsal spine that can deliver a painful injury. Dark gray in color, it reaches 40cm in length, and is notable for having a very wide body and large mouth for a fish of its length. It is mainly found in larger rivers, and only rarely in lakes, and has quite soft flesh",ariyuukwaaja_1,,,,
SN000422,"variety of tapir said by Iquitos to be a distinct species of tapir, being somewhat smaller than the <[pɨsɨkɨ](LX002500)> and having white edging on their ears",ariyuukwaaja_2,,,,
SN000423,shoulder,LX000304,,Poss.pref,,
SN000424,carry something on one’s shoulder,LX000305,,,,
SN000425,"‘palta mojarra’, fish species that reaches some 15cm in length; generally silvery in color, it has a black longitudinal stripe along each side of its body, with a reddish belly and somewhat blue back; it is prized for its taste, especially when cooked in <[ijiika](ijiika)> (‘patarashca’)",LX000306,,,Astyanax sp,
SN000426,"larynx, or adam’s apple, and the hard cartilaginous part of the trachea immediately below it",LX000307,,,,
SN000427,say,LX000308,,"In this sense, the verb normally takes both an NP argument, indicating the addressee, and a reported speech complement",,
SN000428,criticize or speak badly of someone,LX000308,,"In this sense, the verb takes only an NP object, which denotes the target of criticism",,
SN000429,"scrape with a blade, e.g., a machete or knife, while holding the blade roughly perpendicular to the surface, e.g., to make a wood surface smooth, as when making a paddle; or to grate a sweet potato while making manioc beer mash",LX000309,,,,
SN000430,intend to do something,LX000310,,This verb takes a non-finite irrealis clause denoting the intended action,,
SN000431,"scratch with fingers or fingernails, without intent to injure, e.g., to relieve an itch, or to remove something from a surface",LX000311,,"This verb is obligatorily transitive; the object denotes or indexes either a body part scratched, or a broader target of scratching, such as <iíkuku> ‘body surface’",,
SN000432,"paddle, move a canoe or boat with a paddle",LX000312,,,,
SN000433,"paddle; Iquitos make a rowing paddle similar to those found in much of Peruvian Amazonia, typically about 1m in total length, with a flared blade roughly 30cm in length that tapers to a relatively fine point",LX000313,,,,
SN000434,"‘remo caspi’, species of tree that mostly grows in inundating areas, reaching up to 1.25m in diameter. Its trunk is noteworthy for its uneven, undulating surface covered with deep groove-like hollows and fin-like protrusions; its wood is prized for making paddles and axe handles, for roof poles and as firewood; and its bark, typically macerated in ‘aguardiente’, is used to treat malaria, other types of fever, and chronic diarrhea",LX000314,,,Aspidosperma nitidum,
SN000435,made a paddle,LX000315,,,,
SN000436,vein of human or any animal,LX000316,,Poss.pref,,
SN000437,the tough and thick central fiber commonly found in manioc tubers,LX000316,,Poss.pref,,
SN000438,midvein of a leaf,LX000316,,Poss.pref,,
SN000439,spit,LX000317,,,,
SN000440,"blow in a stylized manner to exercise shamanic or magical power; this stylized form of blowing involves considerable closure in the oral cavity, so that substantial frication results; the articulation involved typically involves a brief approximation of the dorsum of the tongue to the velum followed by prolonged approximation of the body of the tongue to the palatal region, until supraglottal air pressure begins to equalize with subglottal pressure; while this type of blowing is stereotypically associated with shamans and the exercise of shamanic power, this type of blowing was also employed by people without shamanic powers for purposes of everyday magic, such as causing rain to cease or delaying sunset",LX000317,"In the exercise of every day magic, this form of ritual blowing was intercalated with short formulae, such as the following: <kia=akúmiiti apɨ́ɨsi=karikuka kia=píkuuyaa> ‘you are getting things wet under your mother-in-law’s skirt,’ and <kaa kí=nakúsii kí=jiimaaki sawɨ́ɨni uumáata> ‘I don’t cry very much for my deceased one,’ both employed to cause rain to cease falling; and <tásiiyaárɨɨ kia=akúmiiti apɨ́ɨsi> ‘wait for your mother-in-law’s skirt,’ used to delay the sunset",,,
SN000441,"exercise shamanic power on a person or object by ritualistic blowing, <[aruukíini](LX000317)>; this act can take a variety of forms, e.g., linking a person with a type of animal or being (see sense 2); or transferring shamanic power to a physical object (lengths of balsa wood were an especially common vessel of this sort), so that these objects can be used to achieve magical effects; for example, the Pintuyacu River was at one point entirely dried up by using pieces of balsa wood treated in this way, according to Iquito oral tradition",LX000318,,,,
SN000442,"shamanically associate an animal or demonic being with a person; this may be done with beneficial intentions, e.g., when an animal with an admirable quality is associated with an infant, as this is believed to transfer the animal’s qualities to the child; in such a case, the child is said to be ‘curado en’ (‘cured in’) the animal; thus, a child may be ‘curado en pelejo’ (‘cured in sloth’), to make the child tough and resistant to blows. The association may also be made malevolently, as when a shaman associates someone with a demonic being, e.g., <mújinaapɨ>, with the goal exacting vengeance on his victim by bringing him or her to the attention of the relevant demonic creature; this type of association is typically enacted when the shaman ritually blows tobacco smoke on the person in the name of the demonic being",LX000318,,The notional object of the verb is the person shamanically associated with the animal or demon; an associated animal may be added as an oblique argument bearing the locative postposition <=jina>,,
SN000443,"veiny, as said of a person with unusually prominent veins or a piece of meat with a large number of veins in it",LX000319,,,,
SN000444,"veiny and fibrous, as said of a manioc tuber with a large number of thick fibers in it",LX000319,,,,
SN000445,"‘agujón’, slender fish that reaches nearly 1m in length while its round body does not exceed 15cm in diameter. It has red shading on its tail, yellow on its cheeks, and is notable for its long, tapering snout. It is generally encountered in the relatively still water of back eddies and is typically caught with fishing spears",asa,,,Boulengerella cuvieri,
SN000446,"‘remo caspi masha’, tree species with buttress roots, red sap, and yellow wood reminiscent of the color of the cheeks of <[asa](asa)> (‘agujón’) fish. As with <[áriitaawɨ náana](LX000314)> (‘remo caspi’), the wood from the buttress roots of this tree is used to make paddles and axe handles, but is more difficult to work, due to its greater hardness",LX000320,,,Chimarris glabriflora,
SN000447,"pith, the relatively light material found in the cores of the trunks and stalks of certain trees, palms and plants, e.g., in the trunks of balsa (<[paatíina](LX002468)>) trees and palm trees",LX000321,,,,
SN000448,remove the pith from the stalk or trunk of a tree,LX000322,,,,
SN000449,species of ‘mojarra’-type fish,LX000323,,,,
SN000450,tamandua,asakwaari,,,,
SN000451,"‘chicua’, term for two very similar species of birds, the Black-Bellied and Squirrel Cuckoos; both are generally reddish-brown in color and have long tails that are dark underneath with horizontal white markings",LX000324,"According to Iquito oral tradition, the <[asapáasi](LX000324)> used to be a <[siimana](siimana)> (shaman) before he transformed into a bird. It is said that the distinctive call of these birds (specifically, of {\sci Piaya cayana}) warns hunters of nearby game, or of possible dangers, such as a snake or an unfaithful woman",,"Piaya melanogaster, Piaya cayana",
SN000452,ants; term employed to refer to groups of ants,LX000325,,mass noun,,
SN000453,"also <asapɨ́ɨna aki>, a growth from the trunk of the <[mɨyitina](LX001879)> (‘chimicua’) tree that has the appearance of a bare penis; of no practical use, it is sold as a curio to tourists in the city of Iquitos",LX000326,,,,
SN000454,"deceive, either with malicious intent or not, as when joking; the deception need not involve telling untruths, and may rely on non-verbal means of deception",LX000327,,,,
SN000455,"a deceit, trick, or lie",LX000328,,,,
SN000456,"variety of <[mɨɨ́mɨɨti](LX001886)> (‘chacruna’) used in the preparation of <[aákuta](LX000465)> (‘ayahuasca’); this variety reportedly produces intense but brief visions, which return with great force after a long delay after they first abate",LX000329,,,Psychotria viridis var,
SN000457,brain,LX000330,,Poss.pref,,
SN000458,bone marrow,LX000330,,Poss.pref,,
SN000459,food (plural),asasami,,,,
SN000460,food in general,asasana,,mass noun,,
SN000461,"work one’s mouth, continuously making gentle chewing or sucking motions, e.g., while sucking on a hard candy or chewing gum, or as a nervous habit",LX000331,,,,
SN000462,"leftovers, leftover or saved food; food that remains after a meal, which may have been left deliberately with an eye towards eating it in the future, as noted, e.g., of jaguars after they kill a large animal; or left over simply due to being unable to finish it",LX000332,,,,
SN000463,eat,LX000333,,,,
SN000464,"bite or sting, speaking of snakes or arthropods such as ants, spiders, or wasps",LX000334,,"In this sense, the object does not take <=jina>",,
SN000465,"cut superficially, for something to give a superficial cut or puncture without significantly breaking the skin, e.g., razor grass (<[ariyuuka](ariyuuka)>) cutting the skin when one brushes against it",LX000334,,"This sense requires the momentary perfective aspect <-rɨɨ>, and requires that the object bear the locative postposition <=jina>",,
SN000466,"term employed for two very similar species of small kingfisher in Iquito territory, the Amazon Kingfisher and Green Kingfisher, which measure about 29cm and 20cm in length, respectively. Both species of bird are piscivorous, have long, sharp, dark-colored beaks, and are mainly dark green in color with white neck, throat, and belly, and in the case of the males, a red chest",asi,"According to Iquito oral tradition, the <[asi](asi)>, when human, was married to the <[mɨɨ́saka](LX001903)> or Long-furred Woolly Mouse-Opposum, for whom he fished assiduously. At one point, his father-in-law, jealous to catch fish in impressive quantities like his son-in-law did, made his daughter show him her husband’s fishing spot. Once there, the father-in-law leapt in to catch some fish, but not only did he fail to catch any, he was in the end eaten by a caiman. When the kingfisher heard this, he broke out laughing, which became the source of the kingisher’s distinctive call",,Chloroceryle spp,
SN000467,steel,LX000335,,,,"This term is considered an archaism by the current generation of eldest speakers, who recall most people using <aséeru>, which in fact violates Iquito phonology due to its inclusion of /e/"
SN000468,"scabies, a microscopic parasite that infests the skin and causes great itching. Iquitos traditionally treated this affliction with the pulp of <[asikwaari](asikwaari)> (‘siso huayo’) fruits",asija,,,Sarcoptes scabiei,
SN000469,sneeze,LX000336,,,,
SN000470,"‘siso huayo’ or ‘marimari del bajial’, species of tree that grows in inundating areas, with yellow wood that is suitable for timber and a hard heartwood, which can be used for posts. It is especially noted for its fruits, which were formerly used to treat <[asija](asija)>, scabies, by rubbing the grated pulp of the fruit on the affected parts of the body; in the 20th century, sulphur was also added to this mixture",asikwaari,,,Vatairea guianensis,
SN000471,kick repeatedly,LX000337,,,,
SN000472,"trample, stamp on repeatedly with one’s feet, e.g., as when flattening an dirt floor, or speaking of an area with many animal prints, as beneath fruiting trees frequented by herds of peccaries",LX000338,,,,
SN000473,"‘puma panga’, tree species that grows near river banks and sends out long, thin branches, which float on the water when the river is high and rest against the ground when the water level drops. It produces fruit during the wet season that are eaten by fish, and its floating branches provide shelter for fish, making areas in which this tree is numerous (<[asinakakajina](asinakakajina)>) excellent fishing spots. The thick red sap of this tree is also used to treat chronic diarrhea",asinaja,,,Calliandra angustifolia,
SN000474,"‘puma panga’, plant species (plural)",asinakaka,,,,
SN000475,"‘puma pangal’, or stretch of riverbank with many <[sinaja](sinaja)> (‘puma panga’) trees. Such sites are considered good fishing spots during the wet season, when these trees are fruiting, because many species of fish come to feed on the fruits and to shelter under the branches of this tree",asinakakajina,,,,
SN000476,foot print (plural),LX000339,,,,
SN000477,footprint,LX000340,,"Speakers also employ productively locative-nominalized forms of <asiyáani> ‘step’, e.g., <asiyaákujina> to refer to footprints, but the form given here appears to be partially lexicalized. Poss.pref",,
SN000478,"step, place one’s foot on something, typically the ground, as part of the process of walking or running",LX000341,,,,
SN000479,step on,LX000342,,"In this sense, if the thing stepped on is severely damaged, e.g., a chick that is killed by stepping on it, the object is unmarked, whereas if the object is undamaged or only lightly damaged, it takes a postposition, typically the general locative <=jina> or <=nɨɨ́jina> ‘on top of’",,
SN000480,kick,LX000343,,"In this sense, the object takes the locative postposition <=jina>",,
SN000481,"slide, e.g., down a slippery, muddy slope",LX000344,,,,
SN000482,"slip and fall, e.g., on a muddy path",LX000344,,This sense requires the momentary perfective aspect<-rɨɨ>,,
SN000483,"ingested food, solid food that has already been chewed and swallowed, and is in the stomach",LX000345,,Poss.pref,,
SN000484,"cut, scratch, or scrape something by means of glancing blow, in the case of a person or animal, breaking the skin, and in the case of an inanimate object, gouging or scoring the surface, , e.g., a spear tip breaking the skin with a glancing blow, or an animal’s claws gouging the surface of a piece of wood",LX000346,,This verb requires the momentary perfective asoect <-rɨɨ>,,
SN000485,feed; give someone food,LX000347,,The NP indicating the foodstuff fed to the direct object of the verb is often omitted,,
SN000486,"‘yucal’, a garden in which manioc is the principal cultigen",LX000348,,,,
SN000487,"‘yuca’ or manioc, a cultigen whose long starchy tubers are the carbohydrate base of the traditional Iquito diet. The plant, which grows to 1.5-3m in height, depending on the variety, produces a cluster of tubers, from which rises a single knobby stalk 3-5cm in diameter; from the stalk emerge branches that bear palmate leaves. In addition to being eaten boiled, steamed, and roasted, manioc tubers are the principal ingredient in <[itíniija](LX000800)>, manioc beer, and are made into <[waaríina](LX003458)> (‘fariña’), a durable toasted manioc meal. While manioc is still important in the diet of San Antonio’s current residents, it is being replaced by rice, noodles, and other purchased foodstuffs",LX000349,,,Manihot esculenta,
SN000488,"‘madre de la yuca’, caterpillar species",LX000350,,,,
SN000489,"variety of <[sakújaaja](LX002699)> (‘piripiri’), a medicinal plant, that is very similar in form to <[miíriyati](LX001834)>, and used in the same way to make manioc plants produce large tubers quickly",LX000351,,,Cyperus sp,
SN000490,"‘bujurqui amarillo’, species of large ‘bujurqui’-type fish with a thick body that reaches some 20cm in length; yellow on the face and sides, turning darker along the back, it has a small dark circle on the tail, it has thick scales and flexible spines along its back; it lives in lakes and areas with slow-flowing water, especially in <[isunaajina](isunaajina)> (‘ñejillales’), i.e., <[isunaaja](isunaaja)> palm groves",LX000352,,,Biotodoma cupido,
SN000491,"remove a cutting of manioc stalk that has failed to take root and grow, and replant the same site with a new cutting",LX000353,,,,
SN000492,"complete planting manioc in a garden if a collaborative planting party (<[natɨ́yaaka](LX002129)>) did not complete the planting; generally this involves placing cuttings in the remaining areas that were made ready for planting, e.g., by filling unfilled planting holes",LX000353,,,,
SN000493,"‘bujurqui amarillo’, fish species",LX000354,,,,
SN000494,feed a domestic animal or a human infant,LX000355,,The foodstuff can be introduced by an oblique argument with the instumental postposition <=jata>,,
SN000495,"piece or section resulting from cutting cross-wise something that is longer than it is wide, e.g., a log or rope; note that the resulting sections can be of any size, and all resulting sections can be referred to with this term",LX000356,,Poss.pref,,
SN000496,piece (plural),LX000357,,,,
SN000497,"‘pashaco’, type of tree",LX000358,,,,
SN000498,"tie something that is roughly cylindrical in shape very tightly, typically in such a way that the rope or cord is wrapped around the object at least twice, making it possible to pull on both ends of the rope to tighten it significantly; the prototypical case is tying a load of <[ijáwɨɨmɨ](LX000562)>, ‘irapay’ palm leaves, in a compact bundle so that they can be carried from where they have been collected, but it also applicable to, e.g., tying a bundle of firewood, or tightly tying roof poles together when assembling a house frame",LX000359,,,,
SN000499,"jerk or yank abruptly, e.g., a fishing pole or fishing line, so as to hook a fish that is nibbling on the bait, or a body part that is being bitten by somethng",LX000360,,,,
SN000500,"jerk involuntarily, speaking of a limb or another body part, e.g., when falling asleep (hypnic jerk)",LX000361,,,,
SN000501,"twitch o jerk repeatedly in an involuntary fashion, speaking of all or part of a body, e.g., a dog dreaming of running, or an animal or person who is in the final moments of dying",LX000362,,,,
SN000502,"general term for ‘moena’-type trees, a class of trees of the Lauraceae family characterized by the pleasant spicy fragrances of their woods",atija,,,Lauraceae spp,
SN000503,"support post or pole, a support that keeps something upright or off the ground, prototypically the posts that support the raised floor of a house, but also applicable to angled support poles that may be placed to support a leaning house, or a leaning tree, e.g., a plantain overburdened by a heavy bunch of fruit",LX000363,,Poss.pref,,
SN000504,"place post or pole to support something, e.g., the support post of a raised palm wood floor",LX000364,,,,
SN000505,"place or set one’s feet to give one a secure stance, e.g., to be able to hold a great weight, or to resist a push or blow",LX000365,,,,
SN000506,the back of the head,LX000366,,Poss.pref,,
SN000507,"in felling a tree, making the second and final major cut in the tree, after having completed the first cut, which typically reaches close to the center of the trunk; this second cut is made on the ‘back’ of the tree, or the side opposite to the first cut",LX000367,,,,
SN000508,"execute a cutting blow with an axe from the opposite side of one’s body than would be natural given one’s grip on the axe; thus, if right-handed, and holding the axe to deliver a typical right-handed blow with the axe, instead bring the axe up and over the head to land a blow from the left side of one’s body",LX000367,,,,
SN000509,"‘cañagre’, species of cane that grows in relatively open spaces, such as ‘purmas’, in areas with clayey soils. Its stalks reach a height of about 2m and are covered in soft hairs. A somewhat sour liquid can be squeezed from it, which was formerly taken to cure whooping cough, measles, and ‘interior fevers’",LX000368,,,Costus erythrocoryne,
SN000510,"‘bijaoillo’, plant species",LX000369,,,,
SN000511,"begin an activity, speaking of initiating the first day of an activity that is projected to take multiple days to complete, e.g., clearing a new garden",LX000370,,This verb takes an NP or a non-finite irrealis clause as its complement,,
SN000512,"there; anaphoric form of the medial spatial locative adverb <[tii](tii)>, used to indicate a location previously mentioned in the discourse that is more distant from the deictic center (by default, the speaker) than a location indexed by <[iiti](iiti)> ‘here’, but not as distant as a location indexed by <[tíira](LX003370)> ‘there’",atii,,,,
SN000513,"at that point, then, in a temporal sequence of events",atii,,"This element is a temporal sequencing device in discourse; always clause-initial, and typically sentence-initial, it indicates that the eventuality or eventualities in the remainder of its clause or sentence follow or followed those of the preceding clause or sentence, without implicating that they form steps in a greater process, or episodes in a greater overarching event, contrasting in this way with <wáari>",,
SN000514,disourse sequencing particle with the sense ‘after that’ or ‘thereafter’,LX000371,,"This element is a temporal sequencing device in discourse; always clause-initial, and typically sentence-initial, it indicates that the eventuality or eventualities in the remainder of its clause or sentence follow or followed the conclusion of the eventuality of the preceding clause or sentence, without implicating that they form steps in a greater process, or episodes in a greater overarching event",,
SN000515,anaphoric form of the distal spatial adverb <[tíira](LX003370)> ‘there’; used to refer to distal locations previously mentioned in the discourse,LX000372,,,,
SN000516,"still, yet; in positive polarity contexts, this element indicates that the eventuality it modifies obtains at topic time, and presupposes that is has obtained prior to that point, typically, since some salient prior temporal reference point; while in negative polarity contexts, that the eventuality does not obtain, and presupposes that it has not prior to that point, typically, since some salient prior temporal reference point",LX000373,,,,
SN000517,still,LX000374,,,,
SN000518,"“here you go!”, “there it is!”; interjection employed to draw someone’s attention to something with respect to which it would behoove them to act in some way, e.g., when offering someone something to drink, so that they will take the vessel being handed them, or when pointing out an animal during a hunting trip, so that the addressee can shoot it",LX000375,,,,
SN000519,"tug repeatedly and firmly on something flexible, e.g., tug on a tied rope to test its strength; or pull on a piece of meat with one’s teeth in order to tear off a piece to eat",LX000376,,,,
SN000520,"be stretched out to its full length, speaking of entities of rope-like form",LX000377,,,,
SN000521,straighten out (rope),LX000378,,,,
SN000522,put in line,LX000378,,,,
SN000523,pull something from another person’s grasp,LX000379,,"This sense requires the momentary perfective aspect <-rɨɨ>. The verbal object is the item pulled from the person’s grasp, and that person can be introduced as the possessor of the optional oblique NP <kurika> ‘hand’, which must bear the general locative posposition <=jina>",,
SN000524,"make taut, put tension on a rope-like object, e.g., by pulling on it while one end is secured to another object",LX000380,,,,
SN000525,"get into or organize as a line, shoulder to shoulder, or a column, one individual in front of the other",LX000381,,This verb requires a plural subject,,
SN000526,stretch out or straighten out a rope or rope-like object so that is lies at its full length,LX000382,,,,"Speakers consider both <[atɨɨtɨ́ɨni](LX000382)> and <[atɨ́ɨni](LX000378)> acceptable forms for the transitive sense given here, characterizing them as variants of one another; note that this entails a merger between transitive and intransitive senses"
SN000527,"put in a line, referring both to placing physicals object a line and to organizing a group of people in a line, whether shoulder to shoulder, or standing one in front of the other",LX000382,,,,
SN000528,tell,LX000383,,"The object NP indicates the recipient of the news; a reported speech complement is also commonly, but optionally, licensed by the verb",,
SN000529,"accuse someone of something, or reveal someone’s misdeed, to a third party",LX000384,,"This verb takes as its object an NP indicating the accused party, but does not take a complement clause indicating the deed or secret in question",,
SN000530,"nail, found on either fingers or toes",awaku,,Poss.pref,,"JPI does not exhibit a non-possessed/possessed alternation for this root, neutralizing in favor of the possessed form <áwaku>"
SN000531,claw of any creature,awaku,,Poss.pref,,
SN000532,fingernail abcess,LX000385,,,,
SN000533,"‘uñera’, abscess that forms underneath the fingernail, eventually eating away the nail",LX000386,,,,
SN000534,hand,LX000387,,,,
SN000535,"remainder or small remaining portion of a larger quantity of something that is consumed or finished off in some way, e.g., of food or drink, of firewood, or of a pile of things that needed to be carried from one place to another",LX000388,,Poss.pref,,
SN000536,"a digit, a finger or toe",awasi,,Poss.pref,,"JPI does not exhibit a possessed/non-possessed alternation for this root, neutralizing in favor of the possessed form, <áwasi>"
SN000537,thumb,LX000389,,,,
SN000538,little finger,LX000390,,,,
SN000539,"‘huacrapona’, species of palm that develops a large bulge, or ‘belly’ (<[tanaka](tanaka)>) in its trunk when older. Trunks without this bulge serve as a source of flooring material, while the bulging section of an older trunk can be used to make a temporary canoe, most often used to return to the community from a long hunting trip upriver. Traditionally, these bulging sections were also used to make large temporary containers",awasika,,,Iriartea deltoidea,
SN000540,fingers or toes (plural),LX000391,,,,
SN000541,"‘afaninga’, general term for a class of very slender non-venomous snakes that can reach up to 2.5m in length, but are often much shorter. The species are of a variety of colors, including red, brown, and green, and individuals are generally encountered on the ground or on the low branches of bushes",LX000392,,,Chironius spp,
SN000542,"wood of a fallen tree that has experienced dry rot, such that it is soft and can be very easily cut with an axe, or even broken in pieces by hand. Such wood is gathered as firewood, since it burns relatively well",LX000393,,,,
SN000543,"‘machimango de altura’, tree species that grows in elevated areas far from rivers. Its large trunk reaches 1.5m in diameter, and has small buttress roots; its wood is quite hard, and its heartwood (‘shungo’) is useful for house posts, although the distance this species grows from settlements means that it is rarely used for this purpose. Its fruits, about 10cm in length and 3cm in diameter, are not edible by humans. It is perhaps best known as one of the species on which edible caterpillars (<[jiinakaníini](LX001156)>) are found in their season (August and September), when they form large patches of hundreds of individuals on the trunks of this species",LX000394,,,,
SN000544,"‘tucunaré’ or Peacock Bass, name applied to a number of similar species of predatory fish, prized for their flesh, and generally encountered in oxbow lakes in Iquito territory, reaching some 50cm in length; generally dark yellow in color, with three dark transverse stripes on each side of its body, and a dark, ring-like mark on its tail",LX000395,,,"Cichla spp., Cichla monoculus",
SN000545,"Roadside Hawk, species of hawk very common near communities and open areas such as <[nasi](nasi)> (‘chacras’), known for taking small chickens. It reaches up to 40cm in length and is reddish-brown in color, with slight pale streaking on the chest, horizontal striping on the belly, and an alternating dark- and pale-barred tail",LX000396,,,Buteo magnirostris,
SN000546,"‘Abiramo’, a tributary of the Chambira River, on the left bank (when traveling upriver), some half hour by ‘peke peke’ motor from point where the Chambira joins the Pintuyacu River. Its name is said to derive from the large numbers of <[awíraaja](LX000396)> hawks formerly found near its mouth. It was once considered a very good creek for fishing, especially rich in <[iyámaana](LX000868)> (‘lisa negra’) and <[aaka íyuuri](LX000422)> (‘sábalo’)",LX000397,,,,
SN000547,stomach,LX000398,,Poss.pref,,
SN000548,"round entrance to an animal-made burrow or nest, be it in the ground, e.g., an entrance to a <[tiímaaka](LX003358)> (Paca) burrow, or in the trunk of a tree, e.g., an entrance to a toucan nest, which are often found in trees hollowed out by termites",LX000399,,,,
SN000549,"make round opening or entrance, e.g., carving a round hole into or through a plank, digging a round entrance to a burrow, or making the upper part of a round clay vessel, which results in a round opening",LX000400,,,,
SN000550,"‘vela caspi’, tree species whose identity is now unclear; it apparently either had bark that could be used as an improvised light source, or wood that burned well even when green",LX000401,,,,
SN000551,"“no problem!”, “it’s fine!”, interjection used to indicate that some object, substance, or situation is adequate, despite being imperfect, and that the speaker is content to have some course of action proceed, despite the circumstances not being optimal due to the deficiencies of the referent, said, e.g., with reference to a somewhat bent trunk, when harvesting trunks for roof poles; or to lightly spoiled fish, when evaluating whether to eat it",LX000402,,,,
SN000552,"''it's fine!""",LX000403,,,,
SN000553,"''it's fine!""",LX000404,,,,
SN000554,''it's fine!'',LX000405,,,,
SN000555,thigh,LX000406,,Poss.pref,,
SN000556,leg,LX000406,,"In this sense, ‘thigh’ serves as a metonym for the entire limb. Poss.pref",,
SN000557,vulva,LX000407,,Poss.pref,,
SN000558,insult a person verbally,LX000408,,,,
SN000559,negative existential verb; lack of existence or lack of presence in a relevant place is attributed to the single argument of the verb,LX000409,,"This negative existential verb exhibits some properties typical of locative nouns, in that <aájapa> may take the locative nominal suffixes <-ma>, <-ku>, and <-kúura>, with their expected spatial interpretations. Note, however, that the spatial sense of <-ki> has been bleached, such that <aájapaki> (< *<aájapa-ki>, presumably) has no proximal spatial interpretation, as would otherwise be expected from <-ki>",,
SN000560,"not do at all, not happen at all, or to the slightest degree",LX000410,,"In this sense, the negative existential verb takes a lexical verb derived with the event nominalizer as an argument; the resulting negation is emphatic in negating the possibility that the eventuality denoted by the nominalized verb is realized event to a slight degree",,
SN000561,"unproductive, speaking of plants, the quality of not producing edible fruits or tubers, despite being a member of a species that typically does produce them; less commonly, this term is also used to characterize plant species that produce fruits or tubers that not edible, especially when not even eaten by animals",LX000411,,,,
SN000562,"unsuccessful in hunting or fishing, speaking of a person, typically chronically so",LX000411,,,,
