ID,Language_ID,Headword,Part_Of_Speech,Derivational_Root,Irregular_Plural,Irregular_Possessed_Form,Literal_Meaning,Loanword_Source,Main_Entry,Middle_Form,Pronunciation,Root,Semantics_Note,Variant_Form
LX000769,iqu,ísaasi,noun,,,,,,,,,ísaasi,,irregular 3rd person possessed form: nɨ́saasi
LX000770,iqu,Isiaamajákwaa,proper noun,,,,,,,,,Isiaamajákwaa,,
isija,iqu,isija,noun,,,,,,,,,isija,,
isijaati,iqu,isijaati,noun,,,,,,,,,isijaati,,
LX000771,iqu,isikáani,transitive verb,,,,,,,isikɨ́ɨni (middle),,isíka,,
LX000772,iqu,isikɨ́ɨni,intransitive verb,,,,,,,isikáani (active),,isíkɨ,,
LX000773,iqu,ísiku,noun,,"isíkuka, isíkukwa",,,,,,,ísiku,,irregular 3rd person possessed form: nɨ́siku
LX000774,iqu,isinɨɨkɨɨtáani,intransitive verb,,,,,,,,,isinɨkɨɨ́ta,,
LX000775,iqu,isinɨ́ɨni,intransitive verb,,,,,,,,,isinɨɨ,,
LX000776,iqu,isítina,adjective,,,,,,,,,isíti,,
LX000777,iqu,isitíira,noun,,,,,from Sp. ‘estera’,,,,isitíira,,
LX000778,iqu,isitɨ́ɨni,intransitive verb,,,,,,LX000013,,,isítɨɨ,,
LX000779,iqu,isitɨɨnɨ́ɨni,transitive verb,,,,,,,,,isitɨɨ́nɨɨ,,
isiwaaja,iqu,isiwaaja,noun,,,,,,,,,isiwaaja,,
LX000780,iqu,isíiku,noun,,isiíkuyuuri,,,,,,,isíiku,,
LX000781,iqu,isiíkutaka,adjective,,,,,,,,,isiíkutaka,,
LX000782,iqu,isiikúuni,intransitive verb,,,,,,,,,isiíkuu,,
LX000783,iqu,isiinɨ́ɨni,intransitive verb,,,,,,,,,isiinɨɨ,,
LX000784,iqu,isɨ,noun,,,,,,,,,isɨ,,
LX000785,iqu,ísɨkɨ,noun,,isɨ́kɨya,,,,,,,ísɨkɨ,,irregular 3rd person possessed form: nɨ́sɨkɨ
LX000786,iqu,isɨɨja,noun,,"isɨɨya, isɨɨjaka",,,,,,,isɨɨja,,
LX000787,iqu,isɨɨja táraati,noun,,,,marmoset ‘pashaco’,,,,,isɨɨja táraati,,dialect variant: pisíiku táraati
LX000788,iqu,isɨ́ɨku,noun,,,,,,,,,isɨ́ɨku,,
LX000789,iqu,isɨɨkúuni,transitive verb,,,,,,,,,isɨɨ́kuu,,
LX000790,iqu,isɨ́ɨni,noun,,,,,,,,,isɨ́ɨni,,
LX000791,iqu,isɨɨya,noun,,,,,,LX000786,,,isɨɨya,,
LX000792,iqu,iskaníira,noun,,,,,from Sp. ‘escalera’,LX001751,,,iskaníira,,
LX000793,iqu,isukiáaja,noun,,,,,,,,,isukiáaja,,
isunaaja,iqu,isunaaja,noun,,,,,,,,,isunaaja,,
isunaajina,iqu,isunaajina,locative noun,,,,,,,,,isunaajina,,
isuuki,iqu,isuuki,noun,,isuukiwa,,,,,,,isuuki,,
LX000794,iqu,isúuna,noun,,,,,,,,,isúuna,,
isuusi,iqu,isuusi,noun,,isuusiwa,,,,,,,isuusi,,
LX000795,iqu,itaakúuni,intransitive verb,,,,,,,,,itaákuu,,
LX000796,iqu,itaakuutáani,transitive verb,,,,,,,,,itaakuúta,,
LX000797,iqu,itáani,transitive verb,,,,,,,,,íta,,
LX000798,iqu,itíkari,noun,,,,,,,,,itíkari,,irregular 3rd person possessed form: nɨtíkari
LX000799,iqu,itikaríini,transitive verb,,,,,,,,,itikárii,,
LX000800,iqu,itíniija,noun,,,,,,,,,itíniija,,
LX000801,iqu,itiniijɨ́ɨni,intransitive verb,,,,,,,,,itiniíjɨɨ,,
LX000802,iqu,itipiáaka,noun,,,,,,,,,itipiáaka,,
LX000803,iqu,itipíini,transitive verb,,,,,,,,,itípi,,
LX000804,iqu,itípiitáani,transitive verb,,,,,,,,,itípiita,,
LX000805,iqu,itípuma,noun,,,,,,,,,itípuma,,irregular 3rd person possessed form: nɨtípuma
LX000806,iqu,itípumaji,noun,,,,,,,,,itípumaji,,
LX000807,iqu,itiyɨ,noun,,,,,,,,,itiyɨ,,
LX000808,iqu,itiyɨki,adjective,,,,,,,,,itiyɨki,,
LX000809,iqu,itiyúuni,transitive verb,,,,,,,,,itíyuu,,
LX000810,iqu,itiyuutáani,transitive verb,,,,,,,,,itiyuúta,,
LX000811,iqu,itiyuutɨ́ɨni,intransitive verb,,,,,,,,,itiyuútɨɨ,,
LX000812,iqu,ítiika,noun,,,,,,,,,ítiika,,
LX000813,iqu,itiikúuni,transitive verb,,,,,,,,,itiíkuu,,
LX000814,iqu,itíini,transitive verb,,,,,,,,,íti,,
LX000815,iqu,itɨni,noun,,itɨni,,,,,,,itɨni,,
LX000816,iqu,itɨwɨ́naja,noun,,,,,,LX000825,,,itɨwɨ́naja,,
LX000817,iqu,itɨ́wɨtɨ́ɨni,transitive verb,,,,,,,,,itɨ́wɨtɨɨ,,
LX000818,iqu,itɨyɨ,noun,,,,,,LX003097,,,itɨyɨ,,
LX000819,iqu,itɨ́ɨni,intransitive verb,,,,,,,,,ítɨ,,
LX000820,iqu,itɨ́ɨni,intransitive verb,,,,,,,itúuni (active),,ítɨ,,Nanay dialect: karɨ́ɨni
LX000821,iqu,itɨ́ɨni,intransitive verb,,,,,,,,,ítɨ,,
LX000822,iqu,itɨ́ɨni,transitive verb,,,,,,,,,itɨɨ,,
LX000823,iqu,itɨɨnɨ́ɨni,intransitive verb,,,,,,,,,itɨɨnɨɨ,,
LX000824,iqu,ítɨɨtáani,intransitive verb,,,,,,,,,ítɨɨta,,
LX000825,iqu,ituwánaja,noun,,,,,,,,,ituwánaja,,personal variant (ELY): itɨwɨ́naja ; personal variant (HDC): tawánaja
LX000826,iqu,ituwanajáati,noun,,,,,,LX001130,,,ituwanajáati,,
LX000827,iqu,itúyaaka,noun,,,,,,,,,itúyaaka,,
LX000828,iqu,itúuni,transitive verb,,,,,,,itɨ́ɨni (middle),,ítuu,,
LX000829,iqu,ituútaja,noun,,,,,,,,,ituútaja,,
LX000830,iqu,iwánɨɨtáani,intransitive verb,,,,,,,,,iwánɨɨta,,
LX000831,iqu,iwárajáani,transitive verb,,,,,,,,,iwáraja,,
LX000832,iqu,iwarɨtɨ́ɨni,transitive verb,,,,,,,,,iwarɨtɨɨ,,
LX000833,iqu,iwarɨ́yaaka,noun,,,,,,,,,iwarɨ́yaaka,,Free Variant: iwarɨ́ɨni1
LX000834,iqu,iwárɨɨja,adjective,,,,,,sakina_1,,,iwárɨɨja,,
LX000835,iqu,iwarɨ́ɨni,noun,,,,,,LX000833,,,iwarɨ́ɨni,,
LX000836,iqu,iwarɨ́ɨni,intransitive verb,iwárɨ,,,,,,,,iwɨɨ́rɨ,,
LX000837,iqu,iwarɨɨ́niita,adverb,,,,,,,,,iwarɨɨ́niita,,
LX000838,iqu,iwárɨɨtáani,intransitive verb,,,,,,,,,iwárɨɨta,,
LX000839,iqu,iwatáani,transitive verb,,,,,,,,,iwáta,,
LX000840,iqu,iwatáani,noun,,,,,,,,,iwatáani,,
iwaana,iqu,iwaana,noun,,,,,,,,,iwaana,,
LX000841,iqu,iwáani,intransitive verb,íwa,,,,,,,,iíkwa,,
LX000842,iqu,iwaárika,adverb,,,,,,,,,iwaárika,,
LX000843,iqu,iwítani,adjective,,,,,,,,,iwítani,,
LX000844,iqu,iwitáani,transitive verb,,,,,,,,,iwíta,,
LX000845,iqu,iwíini,intransitive verb,íwi,,,,,,,,iíki,,
LX000846,iqu,iwíini maasia,intransitive verb,,,,,,,,,iíki maasia,,
LX000847,iqu,iwɨɨkɨ́ɨni,intransitive verb,,,,,,,,,iwɨɨkɨɨ,,
LX000848,iqu,iwɨɨkɨɨtáani,intransitive verb,,,,,,,,,iwɨɨkɨɨ́ta,,
LX000849,iqu,iwɨ́ɨni,intransitive verb,,,,,,,,,iwɨɨ,,
LX000850,iqu,iwɨɨ́rɨsana,noun,,,,,,,,,iwɨɨ́rɨsana,,
LX000851,iqu,iwɨɨtáani,intransitive verb,,,,,,,,,iwɨɨ́ta,,
LX000852,iqu,iyájasíini,ambitransitive verb,,,,,,,,,iyájasi,,
LX000853,iqu,iyájatáani,transitive verb,,,,,,,iyájatɨ́ɨni (middle),,iyájata,,
LX000854,iqu,iyájatɨ́ɨni,intransitive verb,,,,,,,iyájatáani (active),,iyájatɨ,,
LX000855,iqu,iyajáani,transitive verb,,,,,,LX000297,,,iyája,,
LX000856,iqu,iyákari,postposition,,,,,,,,,iyákari,,
LX000857,iqu,iyákatɨ́ɨni,intransitive verb,,,,,,,iyakatúuni (active),,iyákatɨ,,
LX000858,iqu,iyakatúuni,transitive verb,,,,,,,iyákatɨ́ɨni (middle),,iyakátuu,,
LX000859,iqu,íyaki,locative noun,,,,,,LX000890,,,íya,,
LX000860,iqu,iyákumasíini,intransitive verb,,,,,,LX000870,,,iyákumasi,,
LX000861,iqu,iyakúmata,adverb,,,,,,LX000871,,,iyakúmata,,
LX000862,iqu,iyákuni,noun,,iyákuka,,,,,,,iyákuni,,sociolinguistic variant: yákuni ; Chambira dialect: kuraja ; dialect variant: irámani
LX000863,iqu,iyákuni katija,noun,,,,anaconda sweet potato,,LX001543,,,iyákuni katija,,
LX000864,iqu,iyakúura,noun,,,,,,LX000891,,,iyakúura,,
LX000865,iqu,=iyakúura,postposition,,,,,,LX000893,,,iyakúura,,
LX000866,iqu,iyakuuraanɨ́ɨni,ditransitive verb,,,,,,,,,iyakuuraánɨɨ,,personal variant (JPI): iyikuuraanɨ́ɨni
LX000867,iqu,iyámaana,noun,,,,,,,,,iyámaana,,personal variant (ELY): iyámaani
LX000868,iqu,iyámaana,noun,,,,,,,,,iyámaana,,
LX000869,iqu,iyámaani,noun,,,,,,LX000867,,,iyámaani,,
LX000870,iqu,iyarakasíini,intransitive verb,,,,,,,,,iyarakási,,dialect variant: iyákumasíini
LX000871,iqu,iyarákata,adverb,,,,,,,,,iyarákata,,personal variant (HDC): iyakúmata
LX000872,iqu,iyarakátina,adjective,,,,,,,,,iyarakáti,,sociolinguistic variant: yarakátina
LX000873,iqu,iyásiika,noun,,,,,,,,,iyásiika,,
LX000874,iqu,iyásiika imɨ́ɨni,noun,,,,grass {madre},,LX002245,,,iyásiika imɨ́ɨni,,
LX000875,iqu,iyásiikwaaja,noun,,,,,,,,,iyásiikwaaja,,
LX000876,iqu,iyasúuri,noun,,iyasuúriwa,,,,,,,iyasúuri,,
LX000877,iqu,iyataajúuni,transitive verb,,,,,,,,,iyataájuu,,
LX000878,iqu,iyatáani,transitive verb,,,,,,,,,iyáta,,
LX000879,iqu,íyaa,adverb,,,,,,,,,íyaa,,constructional variant: íyaa iina
LX000880,iqu,íyaa iina,adverb,,,,,,LX000879,,,íyaa iina,,
LX000881,iqu,íyaa kaájapaa,interjection,,,,,,,,,íyaa kaájapaa,,
LX000882,iqu,iyáaji,noun,,iíyaakɨya,,,,,,,iyáaji,"This term contrasts with <[íiyɨ](LX001033)> ‘edge, lip’, in that the latter refers to what can be conceived of as a one dimensional edge or lip, e.g., in the case of a table top, the line at which the upper surface of the table top and its side meet. In the case of bodies of water, e.g., <nunáani iyáaji> ‘river edge’, the edge and margin are those of the land, not of the water",personal variant (ELY): íyaaji
LX000883,iqu,=iyáaji,postposition,,,,,,,,,iyáaji,,
LX000884,iqu,íyaaji,noun,,,,,,LX000882,,,íyaaji,,
LX000885,iqu,iyaákari,adverb,,,,,,,,,iyaákari,,
LX000886,iqu,iyáaki,demonstrative,,,,,,,,,iyáa,,
LX000887,iqu,íyaakitáani,ditransitive verb,,,,,,,,,íyaakita,,
LX000888,iqu,iyaamiaákuji,conjunction,,,,,,,,"yaamiaákuji, yaamaákuji",iyaamiaákuji,,
LX000889,iqu,iyaasuújuusana,noun,,iyaasuújuusanawaaka,,,,,,,iyaasuújuusana,,irregular 3rd person possessed form: niyaasuújuusana
LX000890,iqu,iyikíira,locative noun,,,,,,,,,íyi,,personal variant (HDC); personal variant (LII): íyɨ ; personal variant (ELY): íyaki
LX000891,iqu,iyikúura,noun,,,,,,,,,iyikúura,,personal variant (HDC): iyɨkúura ; personal variant (ELY): iyakúura
LX000892,iqu,iyikúura,noun,,,,,,,,,iyikúura,,
LX000893,iqu,=iyikúura,postposition,,,,,,,,,iyikúura,,personal variant (ELY): =iyakúura ; personal variant (HDC): =iyɨkúura
LX000894,iqu,iyikuuraanɨ́ɨni,ditransitive verb,,,,,,LX000866,,,iyikuuraánɨɨ,,
LX000895,iqu,íyɨ,locative noun,,,,,,LX000890,,,íyɨ,,
LX000896,iqu,iyɨkúura,noun,,,,,,LX000891,,,iyɨkúura,,
LX000897,iqu,=iyɨkúura,postposition,,,,,,LX000893,,,iyɨkúura,,
LX000898,iqu,íyɨɨja,noun,,,,,,,,,íyɨɨja,,
LX000899,iqu,iyɨɨtáani,transitive verb,,,,,,LX000917,,,iyɨɨ́ta,,
LX000900,iqu,iyɨɨ́tina,adjective,,,,,,,,,iyɨɨ́ti,,
LX000901,iqu,iyújaakáani,transitive verb,,,,,,,,,iyújaaka,,Free Variant: iyújuukwáani
LX000902,iqu,iyújusana,noun,,,,,,,,,iyújusa,,
LX000903,iqu,iyújuukwáani,transitive verb,,,,,,LX000901,,,iyújuukwa,,
LX000904,iqu,iyujúuni,intransitive verb,iyúju,,,,,,,,iyuúju,,
LX000905,iqu,iyujúuni,intransitive verb,,,,,,,,,iyuúju,,
LX000906,iqu,iyujúuni,transitive verb,,,,,,,,,iyuúju,,
LX000907,iqu,iyuukínaaja,noun,,,,,,,,,iyuukínaaja,,
LX000908,iqu,iyuukíini,transitive verb,,,,,,,,,iyuúkii,,
LX000909,iqu,iyúuku,noun,,,,,,,,,iyúuku,,sociolinguistic variant: yúuku
iyuukwana,iqu,iyuukwana,noun,,,,,,,,,iyuukwana,,sociolinguistic variant: yuukwana
LX000910,iqu,iyúuna,noun,,,,,,,,,iyúuna,,
LX000911,iqu,iyúuna,noun,,,,,,LX000912,,,iyúuna,,
LX000912,iqu,iyúuni,noun,,,,,,,,,iyúuni,,personal variant (HDC): íyuuni ; personal variant (ELY): iyúuna2
LX000913,iqu,íyuuni,noun,,,,,,LX000912,,,íyuuni,,
LX000914,iqu,iyúuri,noun,,iyúuriwa,,,,muyuuri,,,iyúuri,,
LX000915,iqu,Iyúuri,proper noun,,,,,,,,,Iyúuri,,
LX000916,iqu,iyúusi,noun,,,,,,,,,iyúusi,,
LX000917,iqu,iyuutáani,transitive verb,,,,,,,,,iyuúta,,personal variant (JPI): iyɨɨtáani
LX000918,iqu,íyuuti,noun,,,,,,,,,íyuuti,,
LX000919,iqu,iyuutɨ́ɨni,intransitive verb,,,,,,,,,iyuutɨɨ,,
iija,iqu,iija,noun,,,,,,,,,iija,,
LX000920,iqu,íija,noun,,,,,,,,,íija,,irregular 3rd person possessed form: nɨ́ɨja
iijakarikuku,iqu,iijakarikuku,locative noun,,,,,,,,,iijakarikuku,,
iijakarikuma,iqu,iijakarikuma,locative noun,,,,,,,,,iijakarikuma,,
LX000921,iqu,Iíjakawɨɨ́raana,proper noun,,Iíjakawɨɨ́raanawaaka,,,,LX000691,,,Iíjakawɨɨ́raana,,
iijakuuja,iqu,iijakuuja,noun,,,,,,,,,iijakuuja,,
LX000922,iqu,iíjataka,adjective,,iíjataka,,,,,,,iíjataka,,
LX000923,iqu,iíjatáani,transitive verb,,,,,,,,,iíjata,,
iijaaka,iqu,iijaaka,noun,,,iíjaaka,,,,,,iijaaka,,
LX000924,iqu,iíjinaji,noun,,iíjinakɨya,,,,,,,iíjinaji,,
LX000925,iqu,=iíjinaji,postposition,,,,,,,,,iíjinaji,,
LX000926,iqu,iijinajɨ́ɨni,transitive verb,,,,,,,,,iijinájɨɨ,,
LX000927,iqu,iíjinakɨya,noun,,,,,,LX000924,,,iíjinakɨya,,
LX000928,iqu,iíjinaari,noun,,"iíjinaariwa, iíjinaariwaaka",,,,,,,iíjinaari,,
LX000929,iqu,iijɨ́ɨni,intransitive verb,,,,,,,,,iíjɨɨ,,
LX000930,iqu,iíjutáani,transitive verb,,,,,,,,,iíjuta,,
iijuwa,iqu,iijuwa,noun,,,iíjuwa,,,,,,iijuwa,,
LX000931,iqu,iijúuni,transitive verb,,,,,,,,,iíjuu,,
LX000932,iqu,iijuútaaja,noun,,iijuútaakami,,,,,,,iijuútaaja,,
iika,iqu,iika,noun,,,íika,,,,,,iika,,irregular 3rd person possessed form: nɨ́ɨka
LX000933,iqu,iika ápiika,noun,,,íika ápiika,slanting roof pole tooth,,,,,iika ápiika,,
iika_sawija,iqu,iika sawija,noun,,,,tooth stone,,,,,iika sawija,,
LX000934,iqu,iika súniija,noun,,,,,,LX001638,,,iika súniija,,
LX000935,iqu,iika tákaana,noun,,,,naked tooth,,,,,iika tákaana,,
LX000936,iqu,iikanásuuja,noun,,,,,,LX001638,,,iikanásuuja,,
LX000937,iqu,iíkataka,adjective,,iíkatakayuuri,,,,,,,iíkataka,,
LX000938,iqu,iikaayɨ,noun,,,,,,,,,iikaayɨ,,
iiki,iqu,iiki,noun,,iikiwa,íiki,,,,,,iiki,,irregular 3rd person possessed form: nɨ́ɨki
LX000939,iqu,iikiáana,adjective,,,,,,,,,iikiáa,,
iiku,iqu,iiku,locative demonstrative,,,,,,,,,iiku,,
LX000940,iqu,=íiku,postposition,,,,,,,,,íiku,,
LX000941,iqu,iikujiíraji,locative demonstrative,,,,,,,,,iikujiíraji,,
iikujiita,iqu,iikujiita,locative demonstrative,,,,,,,,,iikujiita,,
LX000942,iqu,iíkuku,locative noun,,iíkukuya,,,,,,,iíku,The use of this term often implicates that the entirety of the surface of the entity is relevant or is affected,
LX000943,iqu,iíkuku,noun,,,,,,,,,iíkuku,"While this is the most common way of expressing the concept of ‘body’, it contrasts with <[náani](LX002177)>, which specifically refers to a whole body including its interior of flesh and internal organs. As such, this term is usually, but not necessarily, construed to refer specifically to the surface of the body, and not the body as a whole",
LX000944,iqu,iíkuku,locative postposition,,,,,,,,,iíku,,
LX000945,iqu,iíkukuuna,noun,,,,,,,,,iíkukuuna,,
LX000946,iqu,iíkuma,locative postposition,,,,,,,,,iíku,,
LX000947,iqu,=iíkumaji,locative postposition,,,,,,,,,iíkumaji,,
LX000948,iqu,iikúuni,intransitive verb,,,,,,,,,iíkuu,,
LX000949,iqu,iikúura,locative demonstrative,,,,,,,,,iikúura,,
LX000950,iqu,iikuúraata,adverb,,,,,,,,,iikuúraata,,
LX000951,iqu,iíkwa míini,intransitive verb,,,,,,,,,iíkwa mii,,
LX000952,iqu,iíkwa míini,noun,,,,,,,,,iíkwa míini,,
LX000953,iqu,iíkwaji,noun,,,,,,,,,iíkwaji,,
LX000954,iqu,=iíkwaji,postposition,,,,,,,,,iíkwaji,,
LX000955,iqu,=iíkwaji,postposition,,,,,,,,,iíkwaji,,
LX000956,iqu,=iíkwaji,postposition,,,,,,,,,iíkwaji,,
LX000957,iqu,=iíkwaji,postposition,,,,,,,,,iíkwaji,,
LX000958,iqu,iíkwajiina,noun,,iíkwajiipɨ,,,,,,,iíkwajii,,
LX000959,iqu,iíkwajiipɨ,noun,,,,,,LX000958,,,iíkwajiipɨ,,
LX000960,iqu,iikwáami,adjective,,,,,,,,,iikwáami,,
LX000961,iqu,iíkwaami,noun,,,,,,,,,iíkwaami,,
iima,iqu,iima,locative demonstrative,,,,,,,,,iima,,
LX000962,iqu,iimajiíraji,locative demonstrative,,,,,,,,,iimajiíraji,,
iimajiita,iqu,iimajiita,locative demonstrative,,,,,,,,,iimajiita,,
LX000963,iqu,iímaatiíkwaaja,noun,,,,,,,,,iímaatiíkwaaja,,
iimi_1,iqu,iimi,determiner,,,,,,,,,iimi,,
iimi_2,iqu,iimi,relative pronoun,,,,,,,,,iimi,,
iimi_3,iqu,iimi,demonstrative,,,,,,,,,iimi,,
LX000964,iqu,iímina,noun,,,,,,,,,iímina,,
LX000965,iqu,iiminɨ́ɨni,intransitive verb,,,,,,,,,iimínɨɨ,,
LX000966,iqu,íimɨ,noun,,iímɨya,,,,,,,íimɨ,,
LX000967,iqu,iímɨtáani,transitive verb,,,,,,,,,iímɨta,,personal variant (ELY): mɨtáani2
LX000968,iqu,iimɨ́ɨra,locative demonstrative,,,,,,,,,iimɨ́ɨra,,
LX000969,iqu,iimɨɨ́raata,adverb,,,,,,,,,iimɨɨ́raata,,
iina_1,iqu,iina,determiner,,"iipɨ (animate), iimi (inanimate)",,,,,,,ii,,
iina_2,iqu,iina,relative pronoun,,"iipɨ (animate), iimi (inanimate)",,,,,,,ii,,
iina_3,iqu,iina,demonstrative,,,,,,,,,ii,,
iina_4,iqu,iina,anaphoric pronoun,,,,,,,,,ii,,
LX000970,iqu,iina tíira,demonstrative,,,,,,,,,iina tíira,,
iinami,iqu,iinami,noun,,,iínami,,,,,,iinami,,
LX000971,iqu,iinamináaja,noun,,,,,,,,,iinamináaja,,
LX000972,iqu,iinamináana,noun,,,,fire tree,,LX001636,,,iinamináana,,
iinana,iqu,iinana,adjective,,,,,,,,,iina,,
LX000973,iqu,iínari,noun,,iínariwaaka,,,,,,,iínari,,
iinawaja,iqu,iinawaja,adverb,,,,,,,,,iinawaja,,
LX000974,iqu,íini,noun,,iíniwa,,,,,,,íini,,
LX000975,iqu,iiníini,transitive verb,,,,,,,,,iinii,,
LX000976,iqu,iínuwa,noun,,,,,,,,,iínuwa,,
LX000977,iqu,iínuunaki,noun,,iínuunakiwa,,,,,,,iínuunaki,,
LX000978,iqu,iínuunakíina,noun,,,,,,,,,iínuunakíina,,
LX000979,iqu,iípanaka,noun,,,,,,,,,iípanaka,,
LX000980,iqu,iípanana,adjective,,,,,,,,,iípana,,
LX000981,iqu,iipanɨ́yaaka,noun,,,,,,,,,iipanɨ́yaaka,,
LX000982,iqu,iípanɨ́ɨni,intransitive verb,,,,,,,iipanúuni (active),,iípanɨ,,
LX000983,iqu,iípanɨɨtíini,intransitive verb,,,,,,,,,iípanɨɨ́tii,,
LX000984,iqu,iipanúuni,transitive verb,,,,,,,iípanɨ́ɨni (middle),,iipánuu,"Since a dedicated lexical item exists for heating up food, <[tipanúuni](LX003318)>, speakers express a preference for using the more specific term when discussing the heating of food; however, all agree that this more general root is also applicable in such cases",
LX000985,iqu,iipɨ,relative pronoun,,,,,,,,,iipɨ,,
LX000986,iqu,iipɨ,determiner,,,,,,,,,iipɨ,,
LX000987,iqu,iipɨ,demonstrative,,,,,,,,,iipɨ,,
LX000988,iqu,iipɨ́kana,noun,,iipɨ́kiaakɨ,,,,,,,iipɨ́kana,,
LX000989,iqu,iipɨɨ,noun,,iipɨɨwa,,,,,,,iipɨɨ,,
LX000990,iqu,iipɨɨ aríyasi,noun,,,,howler monkey testicle,,,,,iipɨɨ aríyasi,,
LX000991,iqu,iipɨɨ ímaaja,noun,,,,howler monkey larynx,,,,,iipɨɨ ímaaja,,
LX000992,iqu,iipɨɨ saputi,noun,,,,howler monkey flu,,,,,iipɨɨ saputi,,
LX000993,iqu,iipɨɨ táraati,noun,,,,howler monkey ‘pashaco’,,,,,iipɨɨ táraati,,
LX000994,iqu,=íira,postposition,,,,,,,,,íira,,
LX000995,iqu,íiri,noun,,iíriwa,,,,,,,íiri,,
LX000996,iqu,iíruwana,adjective,,,,,,,,,iíruwa,,dialect variant: jiímana
LX000997,iqu,iíruuja,noun,,,,,,,,,iíruuja,,
LX000998,iqu,iíruuku,noun,,,,,,,,,iíruuku,,
iisaja,iqu,iisaja,noun,,,iísaja,,,,,,iisaja,,
LX000999,iqu,iisajúuni,transitive verb,,,,,,,,,iisájuu,,
iisaku,iqu,iisaku,noun,,iisákuka,iísaku,,,,,,iisaku,,
LX001000,iqu,iisaku ijúwatina,noun,,isaku ijúwatipɨ,,spiny rat,,,,,iisaku ijúwatina,,
LX001001,iqu,iísakwaka,noun,,,,,,,,,iísakwaka,,
LX001002,iqu,iísakwana,adjective,,,,,,,,,iísakwa,,
iisana,iqu,iisana,adjective,,,,,,,,,iisa,,
iisaaka,iqu,iisaaka,noun,,,iísaaka,,,,,,iisaaka,,
LX001003,iqu,iísaana,adjective,,,,,,,,,iísaa,,
LX001004,iqu,iisikɨ́ɨni,noun,,,,,,,,,iisikɨ́ɨni,,
LX001005,iqu,iísikɨ́ɨni,intransitive verb,,,,,,,,,iísikɨ,,
LX001006,iqu,iísuuja,noun,,iísuuwa,,,,,,,iísuuja,,
LX001007,iqu,iísuuja,noun,,iísuuwa,,,,,,,iísuuja,,
LX001008,iqu,Iísuuja,proper noun,,,,,,,,,Iísuuja,,
LX001009,iqu,iísuuja ajápaka,noun,,,,armadillo wasp,,,,,iísuuja ajápaka,,
LX001010,iqu,iísuuja ánaasi,noun,,,,,,,,,iísuuja ánaasi,,
LX001011,iqu,iísuuja tamɨɨríina,noun,,,,armadillo ‘aguajillo’,,,,,iísuuja tamɨɨríina,,
LX001012,iqu,iísuuwa,noun,,,,,,LX001007 ; LX001006,,,iísuuwa,,
iita,iqu,iita,noun,,,íita,,,,,,iita,,
LX001013,iqu,iita ápisi,noun,,iita apísikaka,,house's empty fruit bunch,,,,,iita ápisi,,
LX001014,iqu,iita apísikaka,noun,,,,,,LX001013,,,iita apísikaka,,
iitakajina,iqu,iitakajina,locative noun,,,,,,,,,iitaka,,
iitakaasi,iqu,iitakaasi,adjective,,,,,,,,,iitakaasi,,
iitaari,iqu,iitaari,noun,,iitaariwa,iítaari,,,,,,iitaari,,
iiti,iqu,iiti,locative demonstrative,,,,,,,,,iiti,,
LX001015,iqu,iitimɨra,noun,,,iítimɨra,,,LX001900,,,iitimɨra,,
LX001016,iqu,iítiijiina,noun,,,,,,,,,iítiijiina,,
LX001017,iqu,iitiijiíraji,adverb,,,,,,,,,iitiijiíraji,,
iitiina,iqu,iitiina,demonstrative,,"iitiimi (inanimate), iitiipɨ (animate)",,,,,,,iitii,,
LX001018,iqu,iitíini,adverb,,,,,,LX002061,,,iitíini,,
LX001019,iqu,iitíira,locative demonstrative,,,,,,,,,iitíira,,
LX001020,iqu,iitiírakuma,adverb,,,,,,,,,iitiírakuma,,
LX001021,iqu,iitiírakuma,adverb,,,,,,,,,iitiírakuma,,
iitiirakumaana,iqu,iitiirakumaana,demonstrative,,iitiirakumaami,,,,,,,iitiirakumaa,,
LX001022,iqu,iitiíraata,adverb,,,,,,,,,iitiíraata,,
LX001023,iqu,iitɨ́ɨni,intransitive verb,,,,,,,,,iítɨɨ,,
iitu,iqu,iitu,noun,,,íitu,,,,,,iitu,,
LX001024,iqu,iíwana,adjective,,,,,,,,,iíwa,,
LX001025,iqu,iíwaaka,noun,,,,,,,,,iíwaaka,,
LX001026,iqu,iíwaasi,noun,,,,,,,,,iíwaasi,,irregular 3rd person possessed form: nɨɨ́waasi
LX001027,iqu,iíwɨɨti,noun,,,,,,LX001028,,,iíwɨɨti,,
LX001028,iqu,iíwuuti,noun,,,,,,,,,iíwuuti,,dialect variant: iíwɨɨti
LX001029,iqu,iíyajina,locative noun,,,,,,,,,iíya,,
LX001030,iqu,iíyaakɨya,noun,,,,,,LX000882,,,iíyaakɨya,,
LX001031,iqu,iíyaasɨja,interjection,,,,,,,,,iíyaasɨja,,
LX001032,iqu,iiyaasúuja,noun,,iiyaasuújawaaka,,,,,,,iiyaasúuja,,irregular 3rd person possessed form: niiyaasúuja ; Free Variant: siisíija2
LX001033,iqu,íiyɨ,noun,,"íiyɨwa, íiyɨka, íiyɨkɨya",,,,,,,íiyɨ,,irregular 3rd person possessed form: nɨ́ɨyɨ
LX001034,iqu,iiyɨɨ,noun,,iiyuwa,íiyɨɨ,,,,,,iiyɨɨ,,
LX001035,iqu,iiyɨɨ náana,noun,,iiyɨɨ naánaka,,rope tree,,,,,iiyɨɨ náana,,
